종목코드,기준일,지표,값
002210,2023-07-21,PER,1576.5
002210,2023-07-21,PSR,1.7062
002220,2023-07-21,PBR,0.4999
002220,2023-07-21,PCR,4.7042
002220,2023-07-21,PER,-29.3227
002220,2023-07-21,PSR,0.3613
002230,2023-07-21,PBR,0.6037
002230,2023-07-21,PCR,-8.6543
002230,2023-07-21,PER,-50.3032
002230,2023-07-21,PSR,1.0789
002240,2023-07-21,PBR,0.2666
002240,2023-07-21,PCR,2.3966
002240,2023-07-21,PER,7.157
002240,2023-07-21,PSR,0.2345
002290,2023-07-21,PBR,0.6883
002290,2023-07-21,PCR,2.1938
002290,2023-07-21,PER,14.7517
002290,2023-07-21,PSR,0.7639
002310,2023-07-21,PBR,0.452
002310,2023-07-21,PCR,2.5696
002310,2023-07-21,PER,4.1214
002310,2023-07-21,PSR,0.3581
002320,2023-07-21,PBR,0.2026
002320,2023-07-21,PCR,1.3353
002320,2023-07-21,PER,8.9595
002320,2023-07-21,PSR,0.1052
002350,2023-07-21,PBR,0.5089
002350,2023-07-21,PCR,69.7032
002350,2023-07-21,PER,83.217
002350,2023-07-21,PSR,0.3016
002360,2023-07-21,PBR,0.813
002360,2023-07-21,PCR,20.5447
002360,2023-07-21,PER,760.155
002360,2023-07-21,PSR,0.4848
002380,2023-07-21,PBR,0.3325
002380,2023-07-21,PCR,3.8207
002380,2023-07-21,PER,-96.5821
002380,2023-07-21,PSR,0.2738
002390,2023-07-21,PBR,0.505
002390,2023-07-21,PCR,3.6455
002390,2023-07-21,PER,32.0061
002390,2023-07-21,PSR,0.3464
002410,2023-07-21,PBR,0.8387
002410,2023-07-21,PCR,-2.9157
002410,2023-07-21,PER,-6.5874
002410,2023-07-21,PSR,0.6545
002420,2023-07-21,PBR,1.6247
002420,2023-07-21,PCR,-45.5826
002420,2023-07-21,PER,-31.5572
002420,2023-07-21,PSR,1.1857
002450,2023-07-21,PBR,0.3763
002450,2023-07-21,PCR,3.1195
002450,2023-07-21,PER,-115.0744
002450,2023-07-21,PSR,0.3326
002460,2023-07-21,PBR,0.2862
002460,2023-07-21,PCR,-0.6413
002460,2023-07-21,PER,4.34
002460,2023-07-21,PSR,0.1355
002600,2023-07-21,PBR,
002600,2023-07-21,PCR,
002600,2023-07-21,PER,
002600,2023-07-21,PSR,
002620,2023-07-21,PBR,0.4396
002620,2023-07-21,PCR,-5.6129
002620,2023-07-21,PER,-3.3565
002620,2023-07-21,PSR,0.2509
002630,2023-07-21,PBR,1.0816
002630,2023-07-21,PCR,67.3947
002630,2023-07-21,PER,-6.5221
002630,2023-07-21,PSR,2.7984
002680,2023-07-21,PBR,1.1831
002680,2023-07-21,PCR,-7.25
002680,2023-07-21,PER,-6.6055
002680,2023-07-21,PSR,0.584
002690,2023-07-21,PBR,0.269
002690,2023-07-21,PCR,-84.2464
002690,2023-07-21,PER,421.232
002690,2023-07-21,PSR,0.213
002700,2023-07-21,PBR,1.5524
002700,2023-07-21,PCR,-10.4046
002700,2023-07-21,PER,-1258.96
002700,2023-07-21,PSR,0.618
002710,2023-07-21,PBR,8.0072
002710,2023-07-21,PCR,-76.8154
002710,2023-07-21,PER,257.3317
002710,2023-07-21,PSR,2.237
002720,2023-07-21,PBR,1.1826
002720,2023-07-21,PCR,16.3889
002720,2023-07-21,PER,37.7657
002720,2023-07-21,PSR,0.691
002760,2023-07-21,PBR,1.9906
002760,2023-07-21,PCR,950.014
002760,2023-07-21,PER,32.7591
002760,2023-07-21,PSR,1.9038
002780,2023-07-21,PBR,0.8461
002780,2023-07-21,PCR,-21.3758
002780,2023-07-21,PER,3.708
002780,2023-07-21,PSR,0.275
002790,2023-07-21,PBR,0.3394
002790,2023-07-21,PCR,5.7363
002790,2023-07-21,PER,16.759
002790,2023-07-21,PSR,0.524
002800,2023-07-21,PBR,1.1632
002800,2023-07-21,PCR,12.0299
002800,2023-07-21,PER,15.5842
002800,2023-07-21,PSR,0.7121
002810,2023-07-21,PBR,0.4703
002810,2023-07-21,PCR,6.5223
002810,2023-07-21,PER,3.9506
002810,2023-07-21,PSR,0.4876
002820,2023-07-21,PBR,0.2146
002820,2023-07-21,PCR,-2.5639
