일자,기준금리,CPI,실업률,환율
2022-08-17,2.25,6.3,2.9,1311
2022-08-18,2.25,6.3,2.9,1314.829956
2022-08-19,2.25,6.3,2.9,1326.910034
2022-08-22,2.25,6.3,2.9,1334.859985
2022-08-23,2.25,6.3,2.9,1343.359985
2022-08-24,2.25,6.3,2.9,1339.079956
2022-08-25,2.5,6.3,2.9,1340
2022-08-26,2.5,6.3,2.9,1334.439941
2022-08-29,2.5,6.3,2.9,1341.180054
2022-08-30,2.5,6.3,2.9,1345.72998
2022-08-31,2.5,6.3,2.9,1350.189941
2022-09-01,2.5,6.3,2.9,1342.26001
2022-09-02,2.5,5.7,2.9,1355.099976
2022-09-05,2.5,5.7,2.9,1361.51001
2022-09-06,2.5,5.7,2.9,1361.810059
2022-09-07,2.5,5.7,2.9,1378.109985
2022-09-08,2.5,5.7,2.9,1374.310059
2022-09-13,2.5,5.7,2.9,1375.810059
2022-09-14,2.5,5.7,2.9,1393.469971
2022-09-15,2.5,5.7,2.9,1391.180054
2022-09-16,2.5,5.7,2.5,1398.630005
2022-09-19,2.5,5.7,2.5,1385.22998
2022-09-20,2.5,5.7,2.5,1390.109985
2022-09-21,2.5,5.7,2.5,1392.51001
2022-09-22,2.5,5.7,2.5,1397.560059
2022-09-23,2.5,5.7,2.5,1403.660034
2022-09-26,2.5,5.7,2.5,1421.810059
2022-09-27,2.5,5.7,2.5,1429.77002
2022-09-28,2.5,5.7,2.5,1426.26001
2022-09-29,2.5,5.7,2.5,1421.949951
2022-09-30,2.5,5.7,2.5,1430.170044
2022-10-04,2.5,5.7,2.5,1433.339966
2022-10-05,2.5,5.6,2.5,1416.530029
2022-10-06,2.5,5.6,2.5,1416.76001
2022-10-07,2.5,5.6,2.5,1408.449951
2022-10-11,2.5,5.6,2.5,1428.349976
2022-10-12,3,5.6,2.5,1430.800049
2022-10-13,3,5.6,2.5,1423.900024
2022-10-14,3,5.6,2.8,1430.300049
2022-10-17,3,5.6,2.8,1440.76001
2022-10-18,3,5.6,2.8,1430.150024
2022-10-19,3,5.6,2.8,1425.02002
2022-10-20,3,5.6,2.8,1435.01001
2022-10-21,3,5.6,2.8,1430.310059
2022-10-24,3,5.6,2.8,1428.109985
2022-10-25,3,5.6,2.8,1443.959961
2022-10-26,3,5.6,2.8,1426.930054
2022-10-27,3,5.6,2.8,1412.689941
2022-10-28,3,5.6,2.8,1420.650024
2022-10-31,3,5.6,2.8,1421.650024
2022-11-01,3,5.6,2.8,1424.670044
2022-11-02,3,5.7,2.8,1416.599976
2022-11-03,3,5.7,2.8,1423.099976
2022-11-04,3,5.7,2.8,1423.650024
2022-11-07,3,5.7,2.8,1402.109985
2022-11-08,3,5.7,2.8,1392.699951
2022-11-09,3,5.7,2.8,1374.150024
2022-11-10,3,5.7,2.8,1370.550049
2022-11-11,3,5.7,2.8,1349.369995
2022-11-14,3,5.7,2.8,1313.030029
2022-11-15,3,5.7,2.8,1324.079956
2022-11-16,3,5.7,2.8,1316.26001
2022-11-17,3,5.7,2.8,1336.430054
2022-11-18,3,5.7,2.8,1342.75
2022-11-21,3,5.7,2.8,1339.030029
2022-11-22,3,5.7,2.8,1359.75
2022-11-23,3,5.7,2.8,1352.689941
2022-11-24,3.25,5.7,2.8,1336.810059
2022-11-25,3.25,5.7,2.8,1317.890015
2022-11-28,3.25,5.7,2.8,1334.560059
2022-11-29,3.25,5.7,2.8,1340.119995
2022-11-30,3.25,5.7,2.8,1325.369995
